CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT IN LITRES,Pressure (hg),Humidity (%),Crop Age (days),Irrigation Type,Soil Moisture (%),Pump Status
BANANA,WET,HUMID,18.89026869,RAINY,0.1,1011.068398,39,2,Drip Irrigation,85.28037303,Off
BANANA,DRY,DESERT,17.32647667,SUNNY,10.25,1023.644412,8,107,Sprinkler Irrigation,40.30449429,Off
BANANA,WET,SEMI HUMID,23.28134732,SUNNY,5.9,1001.014643,44,38,Drip Irrigation,55.96553413,Off
BANANA,DRY,SEMI ARID,42.41201346,RAINY,2.7,1012.075353,26,3,Drip Irrigation,76.47935119,Off
BANANA,WET,DESERT,39.43288806,SUNNY,8.65,1007.536405,35,87,Drip Irrigation,43.56442922,Off
BANANA,HUMID,SEMI HUMID,33.43097619,NORMAL,6.5,1013.298324,21,76,Drip Irrigation,50.92607966,Off
BANANA,WET,DESERT,28.60299542,RAINY,0.3,1010.754398,1,13,Drip Irrigation,57.76433639,Off
BANANA,HUMID,SEMI HUMID,33.43097619,NORMAL,6.5,1013.298324,21,76,Drip Irrigation,50.92607966,Off
BANANA,WET,SEMI ARID,14.93343427,RAINY,0.1,1013.622042,34,18,Drip Irrigation,73.07857542,Off
BANANA,WET,SEMI ARID,14.93343427,RAINY,0.1,1013.622042,34,18,Drip Irrigation,73.07857542,Off
BANANA,HUMID,SEMI HUMID,19.62408337,NORMAL,4.89,1011.835873,27,18,Drip Irrigation,77.14098855,Off
BANANA,HUMID,SEMI HUMID,33.43097619,NORMAL,6.5,1013.298324,21,76,Drip Irrigation,50.92607966,Off
BANANA,DRY,SEMI ARID,23.4804843,NORMAL,8.98,1014.524215,42,82,Drip Irrigation,56.340682,Off
BANANA,HUMID,HUMID,45.13692624,NORMAL,5.15,1000.010039,8,86,Drip Irrigation,56.28764558,Off
BANANA,WET,SEMI HUMID,13.14479166,WINDY,4.4,1010.757911,40,10,Drip Irrigation,70.40626015,Off
BANANA,HUMID,SEMI ARID,21.24182291,NORMAL,6.92,1007.556918,2,37,Drip Irrigation,50.94059756,Off
BANANA,HUMID,HUMID,16.94861795,NORMAL,3.65,1022.858511,22,30,Drip Irrigation,71.29954081,Off
BANANA,WET,SEMI HUMID,41.7767393,RAINY,0.3,1001.660134,47,16,Drip Irrigation,57.34604286,Off
BANANA,HUMID,DESERT,42.55217122,RAINY,1.5,1023.442615,11,1,Drip Irrigation,77.23414526,Off
BANANA,WET,HUMID,40.73815111,SUNNY,6.65,1004.728467,44,89,Drip Irrigation,49.25972938,Off
BANANA,HUMID,HUMID,13.78777579,RAINY,0.1,1008.016569,4,13,Drip Irrigation,91.17410403,Off
BANANA,WET,SEMI HUMID,13.14479166,WINDY,4.4,1010.757911,40,10,Drip Irrigation,70.40626015,Off
BANANA,HUMID,SEMI HUMID,19.62408337,NORMAL,4.89,1011.835873,27,18,Drip Irrigation,77.14098855,Off
BANANA,DRY,SEMI ARID,23.4804843,NORMAL,8.98,1014.524215,42,82,Drip Irrigation,56.340682,Off
BANANA,HUMID,DESERT,42.55217122,RAINY,1.5,1023.442615,11,1,Drip Irrigation,77.23414526,Off
BANANA,DRY,SEMI HUMID,27.52587167,WINDY,8.8,1019.260945,49,66,Drip Irrigation,45.10511661,Off
BANANA,WET,SEMI HUMID,13.46918207,SUNNY,4.85,1003.22591,49,16,Drip Irrigation,84.45627996,Off
BANANA,HUMID,HUMID,34.74933379,NORMAL,5,1011.111999,22,7,Drip Irrigation,61.5597859,Off
BANANA,HUMID,HUMID,33.14949854,RAINY,0.3,1016.748837,27,22,Drip Irrigation,68.23956606,Off
BANANA,DRY,HUMID,25.37046386,RAINY,0.3,1020.318323,47,26,Drip Irrigation,68.53672831,Off
BANANA,DRY,HUMID,11.862823,NORMAL,5.65,1009.498107,13,73,Drip Irrigation,52.53795514,Off
BANANA,HUMID,SEMI ARID,36.96332161,RAINY,0.8,1000.232757,15,24,Drip Irrigation,64.26756881,Off
BANANA,WET,DESERT,18.88476161,NORMAL,5.15,1009.65591,7,62,Drip Irrigation,50.26613401,Off
BANANA,HUMID,DESERT,19.00138158,NORMAL,6.7,1002.815231,21,44,Drip Irrigation,49.25520854,Off
BANANA,DRY,SEMI ARID,39.57157295,RAINY,1.98,1021.493695,46,27,Drip Irrigation,65.84285644,Off
BANANA,HUMID,SEMI HUMID,17.84494322,RAINY,0.1,1016.547539,13,24,Drip Irrigation,65.61601863,Off
BANANA,WET,SEMI ARID,14.93343427,RAINY,0.1,1013.622042,34,18,Drip Irrigation,73.07857542,Off
BANANA,WET,SEMI HUMID,41.7767393,RAINY,0.3,1001.660134,47,16,Drip Irrigation,57.34604286,Off
BANANA,HUMID,DESERT,27.48403201,RAINY,0.8,1011.407921,33,3,Drip Irrigation,75.08793637,Off
BANANA,HUMID,DESERT,19.00138158,NORMAL,6.7,1002.815231,21,44,Drip Irrigation,49.25520854,Off
BANANA,DRY,HUMID,19.44924655,WINDY,6.6,1015.126781,1,80,Drip Irrigation,49.66771593,Off
BANANA,DRY,HUMID,11.862823,NORMAL,5.65,1009.498107,13,73,Drip Irrigation,52.53795514,Off
BANANA,WET,SEMI ARID,33.95515315,NORMAL,6.3,1001.949847,7,49,Drip Irrigation,50.35572682,Off
BANANA,WET,SEMI HUMID,33.26205715,NORMAL,5.54,1007.439268,31,72,Drip Irrigation,55.94758849,Off
BANANA,WET,HUMID,46.44724148,RAINY,0.2,1005.381096,6,3,Drip Irrigation,63.45255944,Off
BANANA,WET,HUMID,49.10550223,NORMAL,5.15,1018.453769,12,53,Drip Irrigation,53.69410092,Off
BANANA,DRY,DESERT,38.8794712,RAINY,2.75,1019.24934,46,7,Drip Irrigation,73.15998272,Off
BANANA,HUMID,SEMI HUMID,22.43415471,RAINY,0.2,1002.993999,2,1,Drip Irrigation,84.53575841,Off
BANANA,HUMID,SEMI ARID,17.63402185,NORMAL,5.92,1022.806364,44,86,Drip Irrigation,57.11225736,Off
BANANA,DRY,SEMI HUMID,16.12090886,SUNNY,8.45,1009.45869,29,36,Drip Irrigation,66.78791573,Off
BANANA,DRY,SEMI HUMID,41.42877203,RAINY,1.9,1014.814205,39,26,Drip Irrigation,61.92934728,Off
BANANA,DRY,HUMID,46.31816286,NORMAL,8.65,1023.682672,27,41,Drip Irrigation,59.85341722,Off
BANANA,DRY,SEMI HUMID,13.36874096,WINDY,7.8,1018.743144,16,65,Drip Irrigation,62.80436436,Off
BANANA,HUMID,HUMID,20.55270648,WINDY,5.65,1001.097027,2,38,Drip Irrigation,64.92504078,Off
BANANA,HUMID,DESERT,19.00138158,NORMAL,6.7,1002.815231,21,44,Drip Irrigation,49.25520854,Off
BANANA,DRY,HUMID,38.28043364,WINDY,8.6,1019.153928,11,55,Drip Irrigation,51.99749106,Off
